state,flag_image_url
Alabama,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/alabama-small.png
Alaska,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/alaska-small.png
Arizona,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/arizona-small.png
Arkansas,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/arkansas-small.png
California,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/california-small.png
Colorado,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/colorado-small.png
Connecticut,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/connecticut-small.png
Delaware,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/delaware-small.png
District of Columbia,https://cdn11.bigcommerce.com/s-e2nupsxogj/product_images/uploaded_images/washdc-nylon.png
Florida,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/florida-small.png
Georgia,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/georgia-small.png
Hawaii,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/hawaii-small.png
Idaho,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/idaho-small.png
Illinois,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/illinois-small.png
Indiana,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/indiana-small.png
Iowa,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/iowa-small.png
Kansas,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/kansas-small.png
Kentucky,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/kentucky-small.png
Louisiana,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/louisiana-small.png
Maine,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/maine-small.png
Maryland,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/maryland-small.png
Massachusetts,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/massachusetts-small.png
Michigan,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/michigan-small.png
Minnesota,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/minnesota-small.png
Mississippi,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/mississippi-small.png
Missouri,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/missouri-small.png
Montana,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/montana-small.png
Nebraska,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/nebraska-small.png
Nevada,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/nevada-small.png
New Hampshire,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/new-hampshire-small.png
New Jersey,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/new-jersey-small.png
New Mexico,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/new-mexico-small.png
New York,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/new-york-small.png
North Carolina,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/north-carolina-small.png
North Dakota,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/north-dakota-small.png
Ohio,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/ohio-small.png
Oklahoma,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/oklahoma-small.png
Oregon,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/oregon-small.png
Pennsylvania,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/pennsylvania-small.png
Rhode Island,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/rhode-island-small.png
South Carolina,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/south-carolina-small.png
South Dakota,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/south-dakota-small.png
Tennessee,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/tennessee-small.png
Texas,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/texas-small.png
Utah,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/utah-small.png
Vermont,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/vermont-small.png
Virginia,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/virginia-small.png
Washington,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/washington-small.png
West Virginia,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/west-virginia-small.png
Wisconsin,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/wisconsin-small.png
Wyoming,https://github.com/CivilServiceUSA/us-states/raw/master/images/flags/wyoming-small.png
